"Name","Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"John Bowker","Giants (AAA)","25","104","366","450","125","78","22","4","21","82","83","74","6","64","4","6","0","6","10","6",".342","8276"
"Jordan Brown","Indians (AAA)","25","111","417","455","140","89","35","1","15","65","67","30","3","64","2","3","3","7","2","4",".336","4121"
"Don Kelly","Tigers (AAA)","29","105","372","420","123","91","20","6","6","57","40","43","1","51","3","0","2","8","27","4",".331","2216"
"Kevin Russo","Yankees (AAA)","24","90","353","406","115","90","18","2","5","51","31","42","2","55","3","5","3","5","13","7",".326","3630"
"Matt Murton","Rockies (AAA)","27","97","373","424","121","81","27","1","12","72","79","39","3","52","5","7","0","6","12","2",".324","6307"
"Michael Morse","- - -","27","110","425","472","137","92","26","3","16","59","86","35","3","77","9","3","0","13","2","1",".322","3035"
"Allen Craig","Cardinals (AAA)","24","126","472","521","152","99","26","1","26","78","83","37","1","95","6","6","0","12","3","0",".322","3433"
"Jesus Guzman","Giants (AAA)","25","115","452","500","145","98","26","5","16","75","71","37","2","82","7","3","1","9","0","2",".321","3118"
"Chris Pettit","Angels (AAA)","24","96","371","415","119","78","30","3","8","70","58","31","0","62","8","3","1","9","18","2",".321","3870"
"Randy Ruiz","Blue Jays (AAA)","31","114","462","521","148","78","43","2","25","81","106","47","5","99","9","3","0","14","0","0",".320","2761"
"Jerry Owens","- - -","28","102","397","453","127","105","10","9","3","75","39","45","2","51","1","4","6","6","23","8",".320","6002"
"Matt Miller","Rockies (AAA)","26","133","523","589","167","111","39","8","9","83","98","51","0","78","6","9","0","24","4","1",".319","sa253307"
"Esteban German","Rangers (AAA)","31","105","389","472","124","100","15","5","4","63","59","65","0","63","8","8","2","11","35","9",".319","1449"
"Jason Bourgeois","Brewers (AAA)","27","105","424","454","134","108","18","6","2","61","41","22","2","40","4","2","2","7","36","7",".316","2225"
"Chris Shelton","Mariners (AAA)","29","105","405","472","127","80","30","2","15","71","85","58","1","86","2","7","0","5","0","2",".314","1891"
"Howie Clark","Blue Jays (AAA)","35","96","387","434","121","90","24","1","6","66","50","34","0","27","2","1","10","12","3","2",".313","1533"
"Jeff Fiorentino","Orioles (AAA)","26","102","365","423","114","71","26","5","12","70","67","48","3","62","0","6","3","2","13","6",".312","8024"
"Hernan Iribarren","Brewers (AAA)","25","105","379","421","118","91","19","5","3","46","54","28","3","63","4","3","7","3","13","7",".311","4177"
"Jesus Feliciano","Mets (AAA)","30","130","495","534","154","122","30","1","1","57","42","25","5","44","5","4","4","18","13","5",".311","2448"
"Kevin Howard","- - -","28","117","429","483","133","90","29","1","13","68","59","48","5","51","1","1","4","8","5","3",".310","sa202822"
"Jeff Frazier","Tigers (AAA)","26","105","399","429","123","87","24","1","11","52","54","20","0","49","1","9","0","11","1","2",".308","8056"
"Mike McCoy","Rockies (AAA)","28","132","462","572","142","108","27","5","2","102","52","80","1","70","3","11","16","7","40","6",".307","4583"
"Julio Borbon","Rangers (AAA)","23","96","407","457","125","104","12","7","2","71","34","33","2","40","7","2","8","7","25","7",".307","3209"
"Eric Patterson","Athletics (AAA)","26","110","466","530","143","91","29","11","12","91","56","52","3","81","2","4","6","2","43","6",".307","9072"
"Brian Myrow","- - -","32","110","365","447","112","74","22","1","15","60","59","65","5","70","10","6","1","8","3","2",".307","3702"
"Mike Cervenak","Phillies (AAA)","32","119","462","506","141","94","36","2","9","67","77","28","1","46","6","8","2","13","1","1",".305","3133"
"Angel Sanchez","Blue Jays (AAA)","25","126","449","506","137","98","29","4","6","67","60","39","2","67","4","4","10","12","1","2",".305","3492"
"Trent Oeltjen","Diamondbacks (AAA)","26","114","442","488","134","81","29","14","10","78","64","31","3","101","10","1","4","6","22","8",".303","3310"
"Buck Coats","Blue Jays (AAA)","27","117","500","553","151","109","33","3","6","82","56","47","4","64","1","3","2","13","25","7",".302","2945"
"Jon Weber","Rays (AAA)","31","117","451","518","136","76","46","0","14","63","69","56","1","98","6","5","0","10","3","7",".302","sa198828"
"Justin Turner","Orioles (AAA)","24","108","387","441","116","86","28","0","2","54","43","34","0","37","8","8","4","12","9","4",".300","5235"
"Michael Ryan","Marlins (AAA)","31","109","367","421","110","71","25","0","14","61","66","47","10","64","1","6","0","9","2","1",".300","1643"
"Austin Jackson","Yankees (AAA)","22","132","504","557","151","115","23","9","4","67","65","40","1","123","6","6","1","10","24","4",".300","9848"
"Matt Downs","Giants (AAA)","25","109","424","467","127","77","33","3","14","68","74","25","0","58","7","7","4","6","8","2",".300","957"
"Matt LaPorta","Indians (AAA)","24","93","338","394","101","59","23","2","17","63","60","42","1","56","9","3","1","11","1","3",".299","2280"
"Eric Young Jr.","Rockies (AAA)","24","119","472","554","141","103","21","10","7","118","43","56","1","79","12","0","12","2","58","14",".299","7158"
"Alcides Escobar","Brewers (AAA)","22","109","430","487","128","94","24","6","4","76","34","32","2","65","5","1","19","13","42","10",".298","6310"
"Mitch Jones","Dodgers (AAA)","31","108","387","434","115","51","26","3","35","72","103","40","3","102","3","4","0","7","9","3",".297","3006"
"Prentice Redman","Mariners (AAA)","29","108","414","456","123","64","35","3","21","84","66","33","2","77","3","2","4","4","7","2",".297","1811"
"Brett Wallace","- - -","22","106","404","446","120","84","21","0","15","54","47","29","5","82","9","4","0","12","1","2",".297","8434"
"Kevin Frandsen","Giants (AAA)","27","110","427","474","126","93","18","2","13","67","55","23","2","34","16","3","5","11","3","4",".295","7528"
"Daniel Ortmeier","Rockies (AAA)","28","122","431","504","127","98","17","5","7","59","73","51","4","92","10","12","0","8","11","5",".295","4694"
"Barbaro Canizares","Braves (AAA)","29","130","506","569","149","104","31","2","12","55","79","52","3","67","7","4","0","18","2","2",".294","6246"
"Chris Carter","Red Sox (AAA)","26","116","428","478","126","85","25","0","16","50","61","42","8","63","3","5","0","16","0","0",".294","7707"
"Chin-lung Hu","Dodgers (AAA)","25","130","496","544","146","114","21","5","6","66","53","25","0","54","5","4","14","6","14","5",".294","5198"
"Brent Dlugach","Tigers (AAA)","26","125","466","517","137","88","36","4","9","58","59","39","3","137","3","5","4","10","5","3",".294","8273"
"Sean Rodriguez","- - -","24","108","385","459","113","58","19","6","30","87","98","55","0","122","13","3","3","6","9","2",".294","6589"
"Royce Huffman","Rangers (AAA)","32","122","440","507","129","93","29","0","7","51","54","56","1","83","6","3","2","10","5","0",".293","sa198113"
"Adam Heether","Brewers (AAA)","27","112","379","452","111","65","29","1","16","62","59","59","1","84","11","3","0","9","5","1",".293","sa226130"
"Brandon Wood","Angels (AAA)","24","99","386","428","113","59","28","4","22","65","72","36","3","80","2","4","0","11","1","1",".293","6592"
"Brett Harper","- - -","27","103","390","423","114","69","25","1","19","46","71","26","3","48","1","6","0","14","0","0",".292","sa200434"
"Corey Patterson","- - -","29","113","387","418","113","69","28","4","12","54","62","21","1","90","4","2","4","2","21","8",".292","300"
"Tug Hulett","Royals (AAA)","26","99","374","442","109","67","27","4","11","62","53","58","2","79","1","4","5","8","9","2",".291","7451"
"Terry Evans","Angels (AAA)","27","135","537","592","156","91","33","6","26","104","90","40","1","146","5","8","2","7","28","5",".291","4295"
"Jarrett Hoffpauir","Cardinals (AAA)","26","108","358","402","104","65","22","3","14","53","53","35","1","28","3","2","4","10","4","1",".291","7554"
"Dee Brown","Dodgers (AAA)","31","121","396","460","115","61","35","0","19","79","80","57","5","63","3","2","2","7","9","3",".290","sa3001095"
"Michael Restovich","White Sox (AAA)","30","135","489","552","142","82","36","3","21","83","61","58","5","118","2","3","0","14","0","1",".290","751"
"Juan Miranda","Yankees (AAA)","26","122","438","502","127","76","30","2","19","74","82","55","2","101","3","6","0","9","1","0",".290","7783"
"Michael Aubrey","- - -","27","101","376","407","109","71","29","1","8","41","52","20","5","38","2","8","1","7","2","2",".290","6049"
"Rusty Ryal","Diamondbacks (AAA)","26","103","404","446","117","61","33","6","17","65","70","33","0","94","4","3","2","13","5","3",".290","9698"
