"Name","Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Willson Contreras","Cubs (AA)","23","126","454","521","151","105","34","4","8","71","75","57","0","62","7","3","0","22","4","4",".333","11609"
"Jon Kemmer","Astros (AA)","24","104","364","425","119","69","28","4","18","67","65","45","2","89","12","4","0","10","9","1",".327","sa738208"
"Adam Frazier","Pirates (AA)","23","103","377","423","122","95","21","4","2","59","30","34","0","42","3","0","9","2","11","7",".324","15223"
"Max Kepler","Twins (AA)","22","112","407","482","131","77","32","13","9","76","71","67","4","63","2","5","1","3","18","4",".322","12144"
"Gavin Cecchini","Mets (AA)","21","109","439","485","139","102","26","4","7","64","51","42","0","55","2","2","0","8","3","4",".317","17005"
"Chad Pinder","Athletics (AA)","23","117","477","522","151","102","32","2","15","71","86","28","1","103","8","5","4","15","7","5",".317","15191"
"Yandy Diaz","Indians (AA)","23","132","476","564","150","125","13","5","7","61","55","78","0","65","3","4","3","15","8","7",".315","16578"
"Tim Anderson","White Sox (AA)","22","125","513","550","160","122","21","12","5","79","46","24","0","114","7","2","4","6","49","13",".312","15172"
"Cameron Seitzer","Rays (AA)","25","102","383","436","118","79","26","1","12","55","59","46","2","84","3","4","0","7","0","2",".308","sa578022"
"Josh Bell","Pirates (AA)","22","96","368","427","113","85","17","6","5","47","60","44","4","50","2","9","3","11","7","4",".307","13145"
"Orlando Arcia","Brewers (AA)","20","129","512","552","157","105","37","7","8","74","69","30","1","73","3","3","4","17","25","8",".307","13185"
"Colin Moran","Astros (AA)","22","96","366","417","112","76","25","2","9","47","67","43","1","79","4","4","0","11","1","0",".306","16909"
"Nick Williams","- - -","21","119","475","515","144","95","26","6","17","77","55","35","0","97","3","1","1","6","13","8",".303","14330"
"Colin Walsh","Athletics (AA)","25","134","487","619","147","93","39","2","13","97","49","124","3","131","5","1","2","12","17","7",".302","10961"
"Ryon Healy","Athletics (AA)","23","124","507","543","153","111","31","1","10","63","62","30","0","82","1","4","1","21","0","1",".302","15447"
"Wynton Bernard","Tigers (AA)","24","135","534","587","161","120","29","8","4","78","36","38","0","73","4","0","11","8","43","16",".301","sa658999"
"Yeison Asencio","Padres (AA)","25","126","482","508","145","108","23","1","13","48","74","14","2","40","8","4","0","13","6","3",".301","sa548016"
"Brock Stassi","Phillies (AA)","25","133","466","554","140","92","32","1","15","76","90","77","4","63","1","10","0","10","3","2",".300","12244"
"Socrates Brito","Diamondbacks (AA)","22","129","490","522","147","106","17","15","9","70","57","29","1","84","1","2","0","7","20","6",".300","12944"
"Lane Adams","Royals (AA)","25","97","373","414","111","75","21","3","12","58","49","36","0","98","2","3","0","7","29","6",".298","10767"
"Emerson Landoni","Braves (AA)","26","118","411","443","122","94","23","4","1","53","45","24","0","43","3","2","3","21","4","8",".297","sa455907"
"Charlie Tilson","Cardinals (AA)","22","134","539","594","159","126","20","9","4","85","32","46","2","72","2","3","4","2","46","19",".295","12983"
"Mike Tauchman","Rockies (AA)","24","131","507","563","149","117","23","6","3","62","43","47","2","69","2","2","5","8","25","13",".294","15274"
"David Adams","Marlins (AA)","28","116","371","443","109","88","12","3","6","45","50","63","1","53","4","3","2","17","3","2",".294","7389"
"Chad Oberacker","Athletics (AA)","26","101","395","451","116","79","27","5","5","69","44","42","0","74","2","6","6","4","19","4",".294","sa549447"
"Max Moroff","Pirates (AA)","22","136","523","612","153","112","28","6","7","79","51","70","3","111","1","5","13","8","17","13",".293","14556"
"Jorge Polanco","Twins (AA)","21","95","394","431","114","88","17","3","6","55","47","35","0","63","0","2","0","7","18","10",".289","13152"
"Alex Liddi","Royals (AA)","26","128","481","514","138","80","39","6","13","65","56","25","1","128","3","4","1","7","8","3",".287","5411"
"Nomar Mazara","Rangers (AA)","20","111","409","470","116","79","22","2","13","57","56","47","0","92","5","9","0","10","2","0",".284","14553"
"Christian Marrero","White Sox (AA)","28","129","450","543","127","90","20","4","13","69","63","78","1","77","6","7","2","8","2","2",".282","sa326115"
"Jesse Winker","Reds (AA)","21","123","443","526","125","86","24","2","13","69","55","74","4","83","6","3","0","10","8","4",".282","13590"
"Josh Rodriguez","Mets (AA)","30","115","412","474","116","70","24","3","19","70","76","54","2","87","4","4","0","11","11","2",".282","5716"
"Tyler Goeddel","Rays (AA)","22","123","473","533","132","93","17","10","12","68","72","48","1","98","6","5","1","7","28","9",".279","13180"
"Renato Nunez","Athletics (AA)","21","93","381","416","106","65","23","0","18","62","61","28","1","66","4","3","0","4","1","0",".278","14503"
"Michael Reed","Brewers (AA)","22","93","313","377","87","57","20","5","5","43","49","53","1","80","3","8","0","6","25","7",".278","13228"
"Corban Joseph","- - -","26","103","369","399","102","77","18","1","6","42","41","23","0","36","2","1","4","8","3","6",".276","5503"
"Jorge Flores","Blue Jays (AA)","23","123","395","461","109","86","20","1","2","49","28","47","0","63","6","2","11","7","10","11",".276","sa550275"
"Alberth Martinez","Padres (AA)","24","129","479","531","132","99","19","3","11","58","56","44","1","85","5","3","0","12","6","4",".276","sa550588"
"Jonathan Rodriguez","Cardinals (AA)","25","124","454","513","125","88","24","0","13","65","65","56","2","100","1","2","0","13","9","4",".275","sa503023"
"Jacob May","White Sox (AA)","23","98","389","432","107","89","15","1","2","47","32","29","0","73","3","2","9","6","37","17",".275","14876"
"Rando Moreno","Giants (AA)","23","121","429","484","118","95","19","3","1","59","39","31","2","62","1","2","21","6","12","9",".275","sa597695"
"Quincy Latimore","Orioles (AA)","26","122","442","486","121","63","32","6","20","74","64","38","1","105","3","1","2","6","6","4",".274","sa389676"
"Nate Orf","Brewers (AA)","25","127","424","511","116","84","26","4","2","65","43","63","1","70","11","5","8","6","5","3",".274","sa579765"
"David Washington","Cardinals (AA)","24","97","340","379","93","59","17","1","16","39","45","34","1","121","1","4","0","7","4","4",".274","12110"
"Mike Ohlman","Cardinals (AA)","24","103","366","417","100","71","17","0","12","53","69","46","2","77","2","2","1","10","0","1",".273","10347"
"Albert Almora","Cubs (AA)","21","106","405","452","110","74","26","4","6","69","46","32","1","47","4","6","4","10","8","4",".272","14109"
"KD Kang","Braves (AA)","27","119","398","449","108","81","15","6","6","48","52","45","1","111","3","3","0","8","4","3",".271","sa327822"
"Tyler Smith","Mariners (AA)","23","121","443","520","120","91","24","2","3","40","32","61","0","85","3","2","11","13","10","4",".271","12490"
"Jack Reinheimer","- - -","22","124","485","547","131","99","24","3","5","64","42","51","1","93","4","4","3","10","21","6",".270","14938"
"Kenny Wilson","Marlins (AA)","25","130","497","570","134","95","24","7","8","77","48","58","2","108","4","5","6","8","37","9",".270","sa454437"
"Jake Cave","Yankees (AA)","22","125","505","563","136","107","22","5","2","68","37","43","0","98","5","5","5","3","17","3",".269","sa597983"
"Shawn Pleffner","Nationals (AA)","25","117","394","440","106","80","21","2","3","36","47","41","3","66","3","1","0","8","2","4",".269","sa599272"
"Tony Renda","- - -","24","127","480","532","129","94","30","2","3","73","44","43","1","39","3","4","2","18","23","6",".269","13443"
"Yadir Drake","Dodgers (AA)","25","106","361","399","97","80","13","1","3","36","32","28","4","41","4","6","0","8","0","2",".269","sa869674"
"Bryson Myles","Indians (AA)","25","102","365","433","98","61","23","5","9","53","51","46","0","85","14","5","3","8","25","10",".268","sa597971"
"Glynn Davis","Orioles (AA)","23","96","365","408","98","74","21","1","2","45","36","34","0","79","2","1","6","3","22","11",".268","sa598601"
"Marquez Smith","Reds (AA)","30","125","408","482","109","74","23","4","8","56","46","63","0","97","6","5","0","12","7","5",".267","sa388379"
"Jason Krizan","Tigers (AA)","26","114","414","475","110","78","22","2","8","53","53","51","1","43","0","5","5","11","13","5",".266","sa546842"
"Dwight Smith Jr.","Blue Jays (AA)","22","117","460","512","122","87","26","2","7","74","44","47","0","64","2","2","1","10","4","3",".265","13473"
"J.P. Crawford","Phillies (AA)","20","86","351","405","93","60","21","7","5","53","34","49","2","45","1","3","1","8","7","2",".265","15491"
"Aledmys Diaz","Cardinals (AA)","24","102","375","409","99","62","25","2","10","47","46","29","0","62","4","0","1","10","6","5",".264","15937"
"Noel Cuevas","Rockies (AA)","23","112","406","444","107","80","21","2","4","47","51","17","1","87","8","2","10","8","31","12",".264","sa549566"
"Stephen Bruno","Cubs (AA)","24","105","342","388","90","70","17","1","2","44","48","26","1","64","13","4","3","11","9","3",".263","sa502917"
"Luis Domoromo","Padres (AA)","23","115","408","438","107","85","14","4","4","48","32","21","0","92","2","2","4","2","7","1",".262","sa507248"
"Todd Hankins","Indians (AA)","24","109","445","486","116","85","20","5","6","56","36","31","0","105","4","2","4","4","21","12",".261","sa598325"
"Bijan Rademacher","Cubs (AA)","24","113","357","433","93","66","19","4","4","56","47","67","1","60","2","2","5","8","7","4",".261","sa658233"
"Jaycob Brugman","Athletics (AA)","23","132","500","566","130","89","27","8","6","61","63","62","0","89","2","2","0","15","11","7",".260","14936"
"Tyrone Taylor","Brewers (AA)","21","128","454","504","118","92","20","3","3","48","43","31","0","55","5","4","10","19","10","6",".260","sa657979"
"Will Swanner","Rockies (AA)","23","115","358","409","93","57","19","0","17","42","50","44","0","126","2","1","4","3","7","8",".260","sa549202"
"Hunter Renfroe","Padres (AA)","23","112","421","463","109","70","22","3","14","50","54","33","1","112","3","6","0","8","4","1",".259","15464"
"Heiker Meneses","Twins (AA)","23","100","340","386","88","76","10","2","0","44","34","24","0","72","7","4","11","10","15","10",".259","sa506229"
"Carlos Lopez","Marlins (AA)","25","123","460","502","119","87","22","4","6","50","38","34","0","66","0","3","5","13","2","2",".259","sa550060"
"Jio Mier","Astros (AA)","24","109","376","443","97","70","18","2","7","53","56","51","1","77","5","5","6","13","10","3",".258","sa500732"
"Jordan Smith","Indians (AA)","24","126","475","536","122","88","24","5","5","57","47","52","0","94","4","3","2","5","18","6",".257","sa579297"
"Josh Whitaker","Athletics (AA)","26","89","355","387","91","52","26","1","12","58","58","27","0","85","2","1","2","3","7","3",".256","sa549594"
"Mitch Delfino","Giants (AA)","24","124","445","494","114","93","17","1","3","45","42","41","0","72","1","6","1","14","4","2",".256","sa579278"
"Elliot Soto","- - -","25","120","414","497","106","93","11","2","0","59","26","69","0","82","3","1","10","8","7","5",".256","sa390666"
"Patrick Leonard","Rays (AA)","22","120","446","514","114","69","32","3","10","72","43","54","0","129","12","2","0","8","11","3",".256","sa597839"
"Johnny Field","Rays (AA)","23","116","432","491","110","59","33","4","14","68","66","36","0","109","15","6","2","11","18","3",".255","sa621675"
"Ricky Oropesa","Giants (AA)","25","131","453","499","115","73","24","1","17","41","76","38","1","128","2","6","0","7","1","1",".254","sa526884"
"Ian Miller","Mariners (AA)","23","87","347","384","88","70","13","5","0","40","23","29","2","53","1","4","3","8","29","13",".254","sa738894"
"Garabez Rosa","Orioles (AA)","25","107","368","398","93","72","16","1","4","40","35","16","0","72","5","4","5","9","3","8",".253","sa455978"
"Diego Goris","Padres (AA)","24","99","384","402","97","71","20","1","5","38","43","12","1","55","2","2","2","15","2","3",".253","sa507199"
"Myles Schroder","Giants (AA)","27","109","369","406","93","76","6","4","7","32","32","21","0","84","8","5","3","3","14","6",".252","sa392193"
"Cameron Perkins","Phillies (AA)","24","100","377","418","95","58","25","1","11","51","51","25","1","53","7","5","4","11","7","1",".252","13444"
"Ozzie Martinez","Orioles (AA)","27","122","433","477","109","92","14","1","2","48","30","36","1","65","2","3","3","9","9","4",".252","3900"
"Carlos Asuaje","Red Sox (AA)","23","131","495","570","124","86","23","7","8","60","61","56","1","88","7","2","10","8","9","6",".251","15197"
"Brian Hernandez","Angels (AA)","26","136","516","569","129","94","27","0","8","59","77","41","3","98","2","10","0","16","1","1",".250","sa503330"
"Matt Olson","Athletics (AA)","21","133","466","585","116","62","37","0","17","82","75","105","6","139","6","8","0","7","5","1",".249","14344"
"Peter Lavin","Dodgers (AA)","27","123","435","485","108","69","24","6","9","51","42","40","1","73","0","5","2","6","7","5",".248","sa598644"
"Danny Hayes","White Sox (AA)","24","129","431","538","107","76","21","3","7","53","58","98","2","109","3","4","2","7","0","2",".248","sa621374"
"Wade Hinkle","Angels (AA)","25","106","347","405","86","60","18","0","8","35","45","44","2","93","6","7","1","5","2","1",".248","sa658642"
"Oscar Tejeda","Red Sox (AA)","25","103","392","421","97","71","20","2","4","45","38","26","0","77","1","2","0","16","4","5",".247","sa392406"
"Lars Anderson","Dodgers (AA)","27","130","449","548","111","63","34","0","14","52","65","91","6","92","3","5","0","11","3","2",".247","9018"
"Seth Mejias-Brean","Reds (AA)","24","122","405","475","100","71","18","5","6","41","53","63","0","96","4","3","0","14","9","3",".247","sa580437"
