Name,H,1B,2B,HR,R,RBI,BB,IBB,SO,SB,AVG
A.J. Pollock,136.000,105.000,25.000,3.000,65.000,52.000,32.000,0.000,52.000,21.000,0.318
A.J. Reed,124.000,66.000,24.000,34.000,89.000,104.000,72.000,3.000,146.000,0.000,0.261
Aaron Bates,108.000,78.500,19.000,9.500,53.000,45.500,56.000,1.000,104.500,0.500,0.278
Aaron Cunningham,104.000,61.000,31.000,10.000,63.000,50.000,50.000,1.000,84.000,12.000,0.247
Aaron Herr,139.000,84.000,31.000,19.000,75.000,83.000,39.000,1.000,144.000,9.000,0.274
Aaron Judge,95.000,57.000,18.000,19.000,62.000,65.000,47.000,0.000,98.000,5.000,0.270
Aaron Mathews,142.000,108.000,21.000,8.000,67.000,77.000,37.000,0.000,49.000,4.000,0.274
Abraham Almonte,106.000,73.000,17.000,11.000,63.000,50.000,49.000,3.000,66.000,20.000,0.314
Abraham M. Nunez,115.000,73.000,25.000,17.000,46.000,68.000,33.000,2.000,110.000,3.000,0.278
Abraham O. Nunez,68.000,58.000,6.000,4.000,40.000,28.000,56.000,4.000,56.000,9.000,0.211
Adam Brett Walker,116.000,62.000,22.000,27.000,61.000,75.000,44.000,2.000,202.000,7.000,0.243
Adam Duvall,119.000,63.000,25.000,28.500,69.000,88.500,30.500,1.000,98.000,3.500,0.281
Adam Eaton,186.000,128.000,46.000,7.000,119.000,45.000,53.000,3.000,68.000,38.000,0.381
Adam Heether,98.333,59.667,25.000,12.333,63.000,50.333,59.000,1.667,80.333,7.667,0.267
Adam Hyzdu,119.000,71.000,25.000,19.000,64.000,80.000,74.000,1.000,102.000,7.000,0.271
Adam Jones,120.500,72.000,23.000,20.500,72.000,73.000,32.000,1.000,92.000,10.500,0.300
Adam Loewen,159.000,92.000,46.000,17.000,83.000,85.000,61.000,2.000,136.000,11.000,0.306
Adam Pavkovich,111.000,71.500,22.500,14.000,60.000,62.000,33.000,0.500,88.000,8.000,0.261
Adam Rosales,124.000,77.000,29.000,11.000,70.000,58.000,22.000,0.000,82.000,7.000,0.287
Adam Stern,101.000,69.000,21.000,8.000,59.000,34.000,23.000,1.000,78.000,23.000,0.258
Adeiny Hechavarria,138.000,106.000,20.000,6.000,78.000,63.000,38.000,0.000,86.000,8.000,0.312
Adrian Cardenas,154.000,117.000,28.000,5.000,70.000,51.000,47.000,1.000,56.000,13.000,0.314
Adron Chambers,105.333,78.333,16.333,7.000,61.333,43.667,47.667,1.333,81.667,17.000,0.283
Alberto Callaspo,165.000,122.000,24.000,7.000,93.000,68.000,56.000,3.000,27.000,8.000,0.337
Alberto Gonzalez,95.000,63.000,21.000,1.000,44.000,35.000,24.000,2.000,49.000,11.000,0.247
Alcides Escobar,128.000,94.000,24.000,4.000,76.000,34.000,32.000,2.000,65.000,42.000,0.298
Alden Carrithers,110.000,92.000,13.000,2.000,60.000,53.000,55.000,0.000,45.000,14.000,0.284
Alejandro De Aza,124.000,81.000,29.000,9.000,64.000,37.000,33.000,2.000,72.000,22.000,0.322
Alejandro Machado,97.000,77.000,12.000,4.000,46.000,32.000,52.000,0.000,51.000,21.000,0.260
Alen Hanson,120.000,87.500,16.000,7.000,62.000,37.500,34.500,1.000,84.500,35.500,0.265
Alex Castellanos,103.667,62.000,21.333,14.667,72.667,51.667,41.333,1.667,100.333,14.333,0.287
Alex Dickerson,141.000,84.000,36.000,12.000,82.000,71.000,45.000,2.000,96.000,4.000,0.307
Alex Hassan,117.000,77.000,31.000,8.000,66.000,55.000,60.000,1.000,109.000,2.000,0.287
Alex Liddi,124.500,72.000,26.000,22.500,93.500,84.500,46.000,0.500,157.000,8.000,0.252
Alex Presley,102.000,74.000,17.000,5.000,57.000,27.000,40.000,2.000,56.000,17.000,0.298
Alex Romero,166.000,123.000,32.000,5.000,82.000,66.000,37.000,2.000,53.000,12.000,0.310
Alex Verdugo,136.000,99.000,27.000,6.000,67.000,62.000,52.000,1.000,50.000,9.000,0.314
Alex Yarbrough,118.000,83.000,29.000,3.000,56.000,48.000,26.000,0.000,136.000,1.000,0.236
Alexi Amarista,106.000,73.000,24.000,4.000,49.000,50.000,22.000,0.000,56.000,15.000,0.292
Alfredo Amezaga,109.000,84.000,17.000,6.000,65.000,42.000,37.000,1.000,60.000,12.000,0.274
Allan Dykstra,96.000,54.000,23.000,16.000,62.000,74.000,84.000,2.000,97.000,0.000,0.280
Allen Craig,123.000,87.500,20.000,15.000,53.500,56.500,43.000,0.500,82.500,1.500,0.298
Amed Rosario,129.000,96.000,19.000,7.000,66.000,58.000,23.000,0.000,67.000,19.000,0.328
Anderson Hernandez,123.800,96.600,18.800,3.400,60.400,38.400,32.200,0.600,76.400,13.200,0.264
Andres Blanco,97.000,72.000,14.000,10.000,47.000,40.000,39.000,5.000,77.000,6.000,0.235
Andres Torres,103.500,65.500,22.000,6.500,68.500,40.500,52.000,1.500,95.000,24.000,0.271
