Name,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS
A.J. Pollock,471.000,6.800,11.000,0.620,0.318,0.369,0.411,0.780
A.J. Reed,556.000,12.900,26.300,0.490,0.261,0.358,0.525,0.883
Aaron Bates,461.733,12.221,22.755,0.541,0.275,0.370,0.401,0.771
Aaron Cunningham,486.000,10.300,17.300,0.600,0.247,0.337,0.401,0.738
Aaron Herr,555.000,7.000,25.900,0.270,0.274,0.328,0.467,0.795
Aaron Judge,410.000,11.500,23.900,0.480,0.270,0.366,0.489,0.854
Aaron Mathews,567.000,6.500,8.600,0.760,0.274,0.321,0.380,0.702
Abraham Almonte,396.000,12.400,16.700,0.740,0.314,0.403,0.491,0.894
Abraham M. Nunez,455.000,7.300,24.200,0.300,0.278,0.333,0.461,0.794
Abraham O. Nunez,388.000,14.400,14.400,1.000,0.211,0.332,0.266,0.598
Adam Brett Walker,531.000,8.300,38.000,0.220,0.243,0.305,0.479,0.784
Adam Duvall,479.056,6.501,20.974,0.312,0.278,0.332,0.548,0.880
Adam Eaton,562.000,9.400,12.100,0.780,0.381,0.456,0.539,0.995
Adam Heether,442.505,13.429,18.255,0.734,0.269,0.381,0.445,0.826
Adam Hyzdu,524.000,14.100,19.500,0.730,0.271,0.370,0.476,0.846
Adam Jones,444.087,7.230,20.814,0.349,0.301,0.365,0.538,0.902
Adam Loewen,585.000,10.400,23.200,0.450,0.306,0.377,0.508,0.884
Adam Pavkovich,470.188,7.041,18.791,0.383,0.262,0.317,0.429,0.746
Adam Rosales,473.000,4.700,17.300,0.270,0.287,0.339,0.463,0.802
Adam Stern,421.000,5.500,18.500,0.290,0.258,0.300,0.388,0.688
Adeiny Hechavarria,490.000,7.800,17.600,0.440,0.312,0.363,0.424,0.788
Adrian Cardenas,545.000,8.600,10.300,0.840,0.314,0.374,0.418,0.791
Adron Chambers,442.506,10.901,18.680,0.585,0.283,0.371,0.403,0.774
Alberto Callaspo,554.000,10.100,4.900,2.070,0.337,0.404,0.478,0.882
Alberto Gonzalez,426.000,5.600,11.500,0.490,0.247,0.300,0.362,0.662
Alcides Escobar,487.000,6.600,13.300,0.490,0.298,0.353,0.409,0.762
Alden Carrithers,457.000,12.000,9.800,1.220,0.284,0.381,0.349,0.729
Alejandro De Aza,435.000,7.600,16.600,0.460,0.322,0.378,0.494,0.871
Alejandro Machado,438.000,11.900,11.600,1.020,0.260,0.356,0.346,0.702
Alen Hanson,504.791,6.858,16.773,0.410,0.264,0.315,0.388,0.704
Alex Castellanos,419.263,9.883,23.974,0.422,0.286,0.372,0.498,0.870
Alex Dickerson,519.000,8.700,18.500,0.470,0.307,0.374,0.503,0.877
Alex Hassan,474.000,12.700,23.000,0.550,0.287,0.378,0.426,0.804
Alex Liddi,562.779,8.384,28.629,0.301,0.253,0.318,0.460,0.779
Alex Presley,391.000,10.200,14.300,0.710,0.298,0.376,0.427,0.803
Alex Romero,584.000,6.300,9.100,0.700,0.310,0.354,0.421,0.775
Alex Verdugo,495.000,10.500,10.100,1.040,0.314,0.389,0.436,0.825
Alex Yarbrough,545.000,4.800,25.000,0.190,0.236,0.274,0.324,0.598
Alexi Amarista,396.000,5.600,14.100,0.390,0.292,0.337,0.419,0.755
Alfredo Amezaga,439.000,8.400,13.700,0.620,0.274,0.336,0.372,0.707
Allan Dykstra,439.000,19.100,22.100,0.870,0.280,0.426,0.504,0.930
Allen Craig,468.089,9.355,17.896,0.524,0.301,0.371,0.462,0.833
Amed Rosario,425.000,5.400,15.800,0.340,0.328,0.367,0.466,0.833
Anderson Hernandez,518.625,6.340,15.053,0.429,0.266,0.314,0.350,0.664
Andres Blanco,461.000,8.500,16.700,0.510,0.235,0.301,0.346,0.648
Andres Torres,449.291,11.639,21.268,0.544,0.274,0.364,0.432,0.797
Andrew Aplin,447.000,9.400,21.900,0.430,0.223,0.300,0.318,0.619
Andrew Beattie,491.000,8.100,17.700,0.460,0.296,0.352,0.448,0.800
