,Name,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,WAR/PA
0,A.J. Pollock,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0
1,A.J. Reed,2.0,2.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0
2,Aaron Cunningham,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
3,Aaron Judge,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
4,Abraham Almonte,0.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0
5,Adam Duvall,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0
6,Adam Eaton,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0
7,Adam Jones,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0
8,Adam Rosales,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
9,Adeiny Hechavarria,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
10,Alberto Callaspo,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0
11,Alberto Gonzalez,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
12,Alcides Escobar,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,Alejandro De Aza,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0
14,Alen Hanson,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
15,Alex Dickerson,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0
16,Alex Liddi,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
17,Alex Presley,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0
18,Alex Romero,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0
19,Alexi Amarista,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
20,Alfredo Amezaga,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,Allen Craig,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,Amed Rosario,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
23,Anderson Hernandez,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
24,Andres Blanco,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
25,Andres Torres,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,Andrew Brown,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0
27,Andrew Knapp,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
28,Andrew McCutchen,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
29,Andrew Romine,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30,Andy Gonzalez,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
31,Andy LaRoche,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
32,Andy Marte,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0
33,Andy Parrino,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
34,Angel Sanchez,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0
35,Anthony Gose,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
36,Anthony Recker,0.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0
37,Anthony Rizzo,0.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0
38,Argenis Reyes,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0
39,Arismendy Alcantara,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
40,Asdrubal Cabrera,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
41,Austin Barnes,0.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0
42,Austin Jackson,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
43,Ben Francisco,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
44,Ben Gamel,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
45,Ben Paulsen,1.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0
46,Billy Burns,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
47,Billy Hamilton,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
48,Blake DeWitt,0.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
49,Bobby Scales,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0
50,Brandon Allen,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0
51,Brandon Barnes,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
52,Brandon Boggs,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
53,Brandon Guyer,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0
54,Brandon Hicks,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
55,Brandon Jones,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
56,Brandon Laird,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
57,Brandon Moss,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
58,Brandon Nimmo,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0
59,Brandon Snyder,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
60,Brandon Wood,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0
61,Brendan Harris,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
62,Brendan Ryan,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
63,Brennan Boesch,0.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0
64,Brent Lillibridge,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
65,Brent Morel,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
66,Brett Carroll,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
67,Brett Eibner,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,0.0
68,Brett Gardner,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0
69,Brett Jackson,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
70,Brett Nicholas,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
71,Brett Pill,2.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
72,Brett Wallace,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
73,Brian Barden,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
74,Brian Barton,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
75,Brian Bixler,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
76,Brian Bogusevic,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
77,Brian Goodwin,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
78,Brooks Conrad,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
79,Bryan LaHair,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0
80,Bryan Petersen,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
81,Caleb Gindl,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
82,Carlos Asuaje,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0
83,Carlos Peguero,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0
84,Carlos Pena,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0
85,Carlos Quentin,0.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0
86,Carlos Ruiz,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0
87,Casey McGehee,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
88,Casper Wells,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
