Name,PA,BB%,K%,AVG,OBP,SLG,OPS,WAR/PA
A.J. Pollock,471.000,6.800,11.000,0.318,0.369,0.411,0.780,1.000
A.J. Reed,556.000,12.900,26.300,0.261,0.358,0.525,0.883,0.000
Aaron Bates,461.733,12.221,22.755,0.275,0.370,0.401,0.771,0.000
Aaron Cunningham,486.000,10.300,17.300,0.247,0.337,0.401,0.738,0.000
Aaron Herr,555.000,7.000,25.900,0.274,0.328,0.467,0.795,0.000
Aaron Judge,410.000,11.500,23.900,0.270,0.366,0.489,0.854,1.000
Aaron Mathews,567.000,6.500,8.600,0.274,0.321,0.380,0.702,0.000
Abraham Almonte,396.000,12.400,16.700,0.314,0.403,0.491,0.894,1.000
Adam Brett Walker,531.000,8.300,38.000,0.243,0.305,0.479,0.784,0.000
Adam Duvall,479.056,6.501,20.974,0.278,0.332,0.548,0.880,1.000
Adam Eaton,562.000,9.400,12.100,0.381,0.456,0.539,0.995,1.000
Adam Heether,461.696,13.355,18.753,0.282,0.391,0.473,0.865,0.000
Adam Jones,444.087,7.230,20.814,0.301,0.365,0.538,0.902,1.000
Adam Loewen,585.000,10.400,23.200,0.306,0.377,0.508,0.884,0.000
Adam Pavkovich,470.188,7.041,18.791,0.262,0.317,0.429,0.746,0.000
Adam Rosales,473.000,4.700,17.300,0.287,0.339,0.463,0.802,1.000
Adam Stern,421.000,5.500,18.500,0.258,0.300,0.388,0.688,0.000
Adeiny Hechavarria,490.000,7.800,17.600,0.312,0.363,0.424,0.788,1.000
Adrian Cardenas,545.000,8.600,10.300,0.314,0.374,0.418,0.791,0.000
Adron Chambers,442.506,10.901,18.680,0.283,0.371,0.403,0.774,0.000
Alberto Callaspo,554.000,10.100,4.900,0.337,0.404,0.478,0.882,1.000
Alberto Gonzalez,426.000,5.600,11.500,0.247,0.300,0.362,0.662,0.000
Alcides Escobar,487.000,6.600,13.300,0.298,0.353,0.409,0.762,1.000
Alejandro De Aza,435.000,7.600,16.600,0.322,0.378,0.494,0.871,1.000
Alejandro Machado,438.000,11.900,11.600,0.260,0.356,0.346,0.702,0.000
Alen Hanson,504.791,6.858,16.773,0.264,0.315,0.388,0.704,0.000
Alex Castellanos,419.263,9.883,23.974,0.286,0.372,0.498,0.870,0.000
