,Name,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,WAR/PA
0,A.J. Pollock,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0
2,Aaron Cunningham,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
4,Abraham Almonte,0.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0
6,Adam Eaton,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0
8,Adam Rosales,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
10,Alberto Callaspo,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0
12,Alcides Escobar,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,Alen Hanson,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
16,Alex Liddi,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
18,Alex Romero,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0
20,Alfredo Amezaga,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,Amed Rosario,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
24,Andres Blanco,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
26,Andrew Brown,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0
28,Andrew McCutchen,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
30,Andy Gonzalez,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
32,Andy Marte,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0
34,Angel Sanchez,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0
36,Anthony Recker,0.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0
38,Argenis Reyes,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0
40,Asdrubal Cabrera,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
42,Austin Jackson,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
44,Ben Gamel,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
46,Billy Burns,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
48,Blake DeWitt,0.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
50,Brandon Allen,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0
52,Brandon Boggs,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
54,Brandon Hicks,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
56,Brandon Laird,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
58,Brandon Nimmo,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0
60,Brandon Wood,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0
62,Brendan Ryan,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
64,Brent Lillibridge,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
66,Brett Carroll,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
68,Brett Gardner,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0
70,Brett Nicholas,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
