Name,PA,BB%,K%,AVG,OBP,SLG,OPS
A.J. Kirby-Jones,386.000,14.500,26.200,0.240,0.360,0.415,0.775
Aaron Altherr,471.000,8.100,21.700,0.252,0.319,0.402,0.722
Aaron Baker,531.000,9.800,21.700,0.253,0.340,0.453,0.793
Aaron Cunningham,402.000,8.500,17.900,0.305,0.386,0.496,0.882
Aaron Hicks,518.000,17.000,21.600,0.279,0.401,0.428,0.829
Aaron Knapp,509.000,11.600,27.900,0.218,0.317,0.302,0.619
Aaron Shipman,427.000,14.100,20.100,0.206,0.319,0.261,0.580
Aaron Westlake,518.000,9.100,20.300,0.249,0.320,0.391,0.711
Aaron Whitefield,460.000,6.700,25.700,0.262,0.318,0.414,0.732
Abraham Almonte,489.562,8.363,18.571,0.254,0.318,0.375,0.693
Adam Abraham,417.320,8.447,16.106,0.261,0.332,0.411,0.743
Adam Brett Walker,553.000,5.600,20.800,0.278,0.319,0.526,0.844
Adam Coe,419.000,3.600,22.900,0.255,0.292,0.385,0.677
Adam Davis,583.000,12.700,19.400,0.266,0.367,0.380,0.747
Adam Duvall,513.000,11.500,19.100,0.285,0.385,0.527,0.912
Adam Godwin,438.000,6.400,12.100,0.269,0.332,0.347,0.679
Adam White,540.000,11.500,21.500,0.215,0.312,0.290,0.602
Aderlin Rodriguez,554.000,5.200,19.100,0.221,0.265,0.372,0.637
Adrian Cardenas,565.000,8.300,14.200,0.295,0.354,0.417,0.770
Adrian Marin,422.000,5.500,21.300,0.265,0.311,0.356,0.667
Adrian Ortiz,446.000,3.400,15.200,0.308,0.334,0.386,0.720
Adrian Rondon,438.000,7.500,29.500,0.221,0.286,0.330,0.616
Adrian Sanchez,577.000,2.900,12.300,0.262,0.295,0.353,0.648
Adron Chambers,384.000,8.600,17.200,0.238,0.322,0.345,0.667
Albert Baur,442.000,9.300,19.000,0.298,0.367,0.439,0.805
Albert Cartwright,404.000,8.900,22.800,0.236,0.330,0.368,0.698
Albert Cordero,418.000,3.600,16.500,0.286,0.324,0.382,0.705
Alberth Martinez,415.000,9.400,16.400,0.277,0.360,0.478,0.837
Alberto Diaz,473.000,5.900,23.000,0.232,0.288,0.321,0.609
Alberto Garcia,408.000,5.600,18.600,0.269,0.320,0.379,0.699
Alberto Mineo,405.000,11.600,16.300,0.278,0.374,0.358,0.732
Aldrem Corredor,506.000,9.300,21.500,0.261,0.335,0.379,0.713
Alejandro Juvier,428.000,5.600,26.600,0.241,0.291,0.315,0.606
Alen Hanson,558.000,9.900,18.800,0.309,0.381,0.528,0.909
Alex De Leon,444.000,9.900,27.500,0.212,0.293,0.358,0.652
Alex Glenn,420.000,11.400,20.200,0.257,0.352,0.433,0.785
Alex Jackson,381.000,8.900,27.000,0.243,0.332,0.408,0.740
Alex Lavisky,387.000,8.800,24.500,0.246,0.314,0.404,0.718
Alex Liddi,474.569,8.262,25.153,0.242,0.311,0.372,0.683
Alex Monsalve,496.000,6.300,19.400,0.264,0.313,0.356,0.668
Alex Murphy,516.000,9.500,26.700,0.252,0.335,0.423,0.759
Alex Presley,553.000,8.100,19.500,0.293,0.348,0.436,0.784
Alex Santana,443.000,8.100,31.600,0.241,0.307,0.315,0.623
Alex Valdez,439.000,7.700,19.100,0.264,0.321,0.431,0.752
Alex Verdugo,444.000,3.800,11.900,0.295,0.325,0.394,0.719
