Name,H,1B,2B,HR,R,RBI,BB,IBB,SO,SB,AVG
A.J. Ellis,114.000,80.000,20.000,13.000,44.000,52.000,65.000,11.000,107.000,0.000,0.270
A.J. Pierzynski,137.167,95.833,24.667,15.500,56.000,60.333,20.333,4.167,63.667,1.167,0.277
A.J. Pollock,192.000,127.000,39.000,20.000,111.000,76.000,53.000,0.000,89.000,39.000,0.315
Aaron Hill,152.333,95.667,33.833,20.500,77.667,76.667,39.833,2.000,89.167,8.500,0.262
Aaron Judge,154.000,75.000,24.000,52.000,128.000,114.000,127.000,11.000,208.000,9.000,0.284
Aaron Rowand,156.000,99.667,37.333,18.333,74.333,74.333,40.333,4.000,123.333,4.000,0.280
Adam Dunn,124.286,63.714,23.857,36.143,77.429,94.286,95.429,8.857,182.143,2.143,0.238
Adam Duvall,139.500,69.000,34.000,32.000,81.500,101.000,40.000,1.000,167.000,5.500,0.245
Adam Eaton,165.667,119.000,27.667,9.667,88.333,50.000,54.667,1.333,109.667,15.667,0.290
Adam Jones,161.800,107.300,27.000,24.800,82.100,80.300,27.900,1.700,115.800,8.300,0.278
Adam Kennedy,153.000,112.000,29.000,11.000,65.000,63.000,45.000,2.000,86.000,20.000,0.289
Adam LaRoche,141.429,83.143,31.714,25.000,72.714,87.143,64.857,7.714,134.857,1.714,0.264
Adam Lind,142.400,85.800,30.400,25.400,69.000,85.400,49.000,6.000,112.800,0.600,0.272
Addison Russell,120.000,74.000,27.000,17.000,63.500,74.500,48.500,4.000,142.000,4.500,0.240
Adeiny Hechavarria,130.333,103.000,17.000,2.333,45.000,38.000,29.667,4.333,85.000,6.333,0.246
Adonis Garcia,145.000,102.000,29.000,14.000,65.000,65.000,24.000,4.000,93.000,3.000,0.273
Adrian Beltre,172.667,109.111,34.778,27.333,84.556,93.444,42.778,7.222,77.111,3.333,0.301
Adrian Gonzalez,173.700,108.300,36.700,27.700,86.100,104.000,68.700,14.300,116.800,0.600,0.290
Akinori Iwamura,156.000,114.500,25.500,6.500,86.500,41.000,64.000,1.500,122.500,10.000,0.279
Albert Pujols,170.800,101.700,34.000,34.700,92.600,109.600,71.800,20.100,69.700,7.300,0.293
Alberto Callaspo,138.200,100.600,26.200,9.400,60.200,57.200,50.000,3.600,49.400,3.800,0.273
Alcides Escobar,151.875,116.250,24.875,4.500,66.125,49.625,24.750,2.000,85.375,20.250,0.259
Alejandro De Aza,142.333,98.333,26.667,11.333,73.667,51.000,45.333,2.000,125.000,21.000,0.266
Alex Avila,137.000,81.000,33.000,19.000,63.000,82.000,73.000,9.000,131.000,3.000,0.295
Alex Bregman,158.000,95.000,39.000,19.000,88.000,71.000,55.000,2.000,97.000,17.000,0.284
Alex Gonzalez,142.500,87.000,34.500,19.000,66.500,72.000,26.500,1.500,122.000,1.500,0.245
Alex Gordon,143.875,91.125,33.000,16.625,77.125,64.750,57.625,4.000,134.625,11.000,0.258
Alex Rios,162.000,105.625,34.000,17.125,81.375,74.125,36.375,2.750,97.000,25.000,0.276
Alex Rodriguez,143.667,84.667,24.833,33.333,92.667,104.500,72.333,6.000,115.500,12.833,0.282
Alexei Ramirez,154.111,111.778,27.667,12.778,66.778,65.556,29.222,2.000,72.222,15.889,0.270
Alfonso Soriano,136.286,73.857,32.286,28.286,72.286,82.286,38.000,5.143,128.000,11.143,0.263
Allen Craig,134.333,91.000,28.000,14.333,62.667,78.333,37.333,1.000,100.667,2.000,0.279
Andre Ethier,147.286,91.857,34.857,18.571,71.857,76.000,57.857,8.429,99.429,2.857,0.286
Andrelton Simmons,147.000,106.500,26.500,10.500,64.250,54.500,39.500,2.750,57.500,8.500,0.259
Andres Torres,136.000,69.000,43.000,16.000,84.000,63.000,56.000,2.000,128.000,26.000,0.268
Andrew Benintendi,155.000,108.000,26.000,20.000,84.000,90.000,70.000,7.000,112.000,20.000,0.271
Andrew McCutchen,167.375,105.875,33.250,23.875,92.500,83.875,78.875,7.625,119.375,18.625,0.291
Andruw Jones,127.000,72.000,27.000,26.000,83.000,94.000,70.000,4.000,138.000,5.000,0.222
