,Name,H_AAA,1B_AAA,2B_AAA,HR_AAA,R_AAA,RBI_AAA,BB_AAA,IBB_AAA,SO_AAA,SB_AAA,AVG_AAA,H_y,1B_y,2B_y,HR_y,R_y,RBI_y,BB_y,IBB_y,SO_y,SB_y,AVG_y
0,A.J. Pollock,136.0,105.0,25.0,3.0,65.0,52.0,32.0,0.0,52.0,21.0,0.318,192.0,127.0,39.0,20.0,111.0,76.0,53.0,0.0,89.0,39.0,0.315
1,Aaron Judge,95.0,57.0,18.0,19.0,62.0,65.0,47.0,0.0,98.0,5.0,0.27,154.0,75.0,24.0,52.0,128.0,114.0,127.0,11.0,208.0,9.0,0.284
2,Adam Duvall,119.0,63.0,25.0,28.5,69.0,88.5,30.5,1.0,98.0,3.5,0.281,139.5,69.0,34.0,32.0,81.5,101.0,40.0,1.0,167.0,5.5,0.245
3,Adam Eaton,186.0,128.0,46.0,7.0,119.0,45.0,53.0,3.0,68.0,38.0,0.381,165.667,119.0,27.666999999999998,9.667,88.333,50.0,54.667,1.3330000000000002,109.667,15.667,0.29
4,Adam Jones,120.5,72.0,23.0,20.5,72.0,73.0,32.0,1.0,92.0,10.5,0.3,161.8,107.3,27.0,24.8,82.1,80.3,27.9,1.7,115.8,8.3,0.278
5,Adeiny Hechavarria,138.0,106.0,20.0,6.0,78.0,63.0,38.0,0.0,86.0,8.0,0.312,130.333,103.0,17.0,2.333,45.0,38.0,29.666999999999998,4.333,85.0,6.332999999999999,0.24600000000000002
6,Alberto Callaspo,165.0,122.0,24.0,7.0,93.0,68.0,56.0,3.0,27.0,8.0,0.337,138.2,100.6,26.2,9.4,60.2,57.2,50.0,3.6,49.4,3.8,0.273
7,Alcides Escobar,128.0,94.0,24.0,4.0,76.0,34.0,32.0,2.0,65.0,42.0,0.298,151.875,116.25,24.875,4.5,66.125,49.625,24.75,2.0,85.375,20.25,0.259
8,Alejandro De Aza,124.0,81.0,29.0,9.0,64.0,37.0,33.0,2.0,72.0,22.0,0.322,142.333,98.333,26.666999999999998,11.333,73.667,51.0,45.333,2.0,125.0,21.0,0.266
9,Allen Craig,123.0,87.5,20.0,15.0,53.5,56.5,43.0,0.5,82.5,1.5,0.298,134.333,91.0,28.0,14.333,62.667,78.333,37.333,1.0,100.667,2.0,0.27899999999999997
