"Name","Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Shane Hoelscher","Rockies (A)","23","92","348","413","114","66","37","0","11","64","61","53","1","53","6","3","3","8","14","9",".328","sa829204"
"Ildemaro Vargas","Diamondbacks (A)","23","86","336","384","108","82","18","3","5","62","39","35","1","16","3","5","5","8","9","6",".321","13324"
"Luis Guillorme","Mets (A)","20","122","446","523","142","126","16","0","0","67","55","54","0","70","2","4","16","13","18","8",".318","sa737882"
"Ryan McBroom","Blue Jays (A)","23","127","461","538","145","93","39","1","12","72","90","49","2","96","14","13","0","11","5","4",".315","sa738641"
"Victor Reyes","Diamondbacks (A)","20","121","424","458","132","108","17","5","2","57","59","22","1","58","1","5","6","11","13","4",".311","sa657236"
"Jose Marmolejos","Nationals (A)","22","124","468","521","145","90","39","5","11","63","87","35","2","89","9","9","0","13","3","1",".310","sa598311"
"Ozzie Albies","Braves (A)","18","98","394","439","122","93","21","8","0","64","37","36","0","56","2","3","4","4","29","8",".310","16556"
"Colin Bray","Diamondbacks (A)","22","130","490","560","151","115","25","8","3","78","52","47","0","109","5","6","12","6","27","9",".308","sa737832"
"Nick Tanielu","Astros (A)","22","110","419","463","129","92","27","4","6","55","70","30","0","65","5","9","0","16","2","8",".308","sa829082"
"Marty Herum","Diamondbacks (A)","23","129","511","555","155","119","23","6","7","71","79","29","2","77","4","10","1","16","5","5",".303","sa745229"
"Jerrick Suiter","Pirates (A)","22","105","381","441","114","88","19","4","3","62","57","46","0","59","7","3","4","3","6","4",".299","sa599740"
"Eudor Garcia","Mets (A)","21","105","398","429","118","82","23","4","9","57","59","22","1","95","6","3","0","7","5","2",".296","sa828870"
"Mike Meyers","Red Sox (A)","21","92","345","386","102","73","18","6","5","57","40","36","0","108","2","2","1","2","12","2",".296","sa658197"
"Elvis Escobar","Pirates (A)","20","124","477","514","141","103","28","5","5","60","64","22","0","79","1","3","11","7","15","21",".296","sa657855"
"Darren Seferina","Cardinals (A)","21","107","410","451","121","79","26","12","4","58","33","37","0","88","1","1","2","8","23","17",".295","sa829376"
"Alex Verdugo","Dodgers (A)","19","101","421","444","124","94","23","2","5","50","42","17","2","53","3","2","1","13","13","5",".295","17027"
"Herlis Rodriguez","Phillies (A)","21","120","445","496","131","97","20","4","10","61","61","28","0","71","6","8","9","5","16","10",".294","sa597740"
"Gleyber Torres","Cubs (A)","18","119","464","514","136","104","24","5","3","53","62","43","1","108","2","4","1","7","22","13",".293","sa830372"
"Mike Gerber","Tigers (A)","22","135","513","583","150","96","31","10","13","74","76","49","3","97","7","12","2","12","16","4",".292","sa550125"
"Corey Toups","Royals (A)","22","102","388","444","113","74","27","5","7","75","44","44","0","82","6","4","2","4","31","5",".291","sa829321"
"Chris Carlson","Blue Jays (A)","24","106","396","460","115","79","21","8","7","64","45","52","0","42","6","3","0","7","15","9",".290","sa658934"
"Cody Regis","Diamondbacks (A)","24","124","476","535","138","109","25","3","1","67","58","41","1","66","9","4","5","8","10","7",".290","sa869633"
"Drew Weeks","Rockies (A)","22","88","335","381","97","62","24","5","6","46","55","34","1","48","5","6","1","5","26","6",".290","sa602429"
"Wuilmer Becerra","Mets (A)","20","118","449","487","130","91","27","3","9","67","63","33","0","96","3","1","1","10","16","8",".290","sa659205"
"Rafael Devers","Red Sox (A)","18","115","469","508","135","85","38","1","11","71","70","24","0","84","8","6","1","12","3","2",".288","17350"
"Josh Morgan","Rangers (A)","19","98","351","416","101","82","15","1","3","59","36","45","0","53","12","2","6","6","9","4",".288","sa828797"
"Steve Wilkerson","Orioles (A)","23","92","342","401","98","77","15","4","2","61","30","45","1","84","7","5","2","6","10","5",".287","sa549210"
"Will Kengor","Tigers (A)","22","111","391","457","112","89","19","3","1","48","38","54","1","100","5","2","5","3","4","3",".286","sa829584"
"Omar Carrizales","Rockies (A)","20","96","388","436","111","84","13","7","7","64","46","31","0","74","0","7","10","1","23","16",".286","sa736953"
