"Name","Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Terry Tiffee","Dodgers (AAA)","29","93","392","425","148","97","39","3","9","73","69","27","5","43","2","4","0","17","1","2",".378","2160"
"Jamie D'Antona","Diamondbacks (AAA)","26","110","419","454","153","96","35","1","21","69","79","30","3","64","1","4","0","15","1","0",".365","5851"
"Nelson Cruz","Rangers (AAA)","27","103","383","448","131","73","18","3","37","93","99","56","4","87","5","4","0","10","24","8",".342","2434"
"Jesus Merchan","Diamondbacks (AAA)","27","114","436","477","148","116","23","5","4","50","72","18","0","44","11","9","3","17","2","2",".339","sa199270"
"Nick Stavinoha","Cardinals (AAA)","26","112","427","453","144","102","23","3","16","67","74","20","0","50","2","4","0","12","2","1",".337","3909"
"Freddy Sandoval","Angels (AAA)","25","131","525","587","176","114","45","2","15","92","88","47","3","74","4","7","4","20","6","3",".335","6863"
"Josh Whitesell","Diamondbacks (AAA)","26","127","475","560","156","94","36","0","26","86","110","74","4","136","8","3","0","9","1","2",".328","6713"
"Bobby Scales","Cubs (AAA)","30","121","387","458","124","87","20","2","15","94","59","59","1","90","5","2","4","8","7","5",".320","2673"
"Cory Sullivan","Rockies (AAA)","28","94","381","419","122","80","32","3","7","70","47","31","0","63","3","3","1","5","13","7",".320","1940"
"Matthew Brown","Angels (AAA)","25","97","400","437","128","70","33","4","21","75","67","32","1","80","3","2","0","7","4","2",".320","6384"
"Randy Ruiz","Twins (AAA)","30","111","416","456","133","80","33","3","17","58","68","23","1","116","11","6","0","10","1","2",".320","2761"
"Trent Oeltjen","Diamondbacks (AAA)","25","127","442","491","140","96","28","10","6","75","60","24","1","68","10","11","4","6","15","7",".317","3310"
"Oscar Salazar","Orioles (AAA)","30","112","443","491","140","82","42","3","13","73","85","42","1","56","0","6","0","12","8","2",".316","495"
"Xavier Paul","Dodgers (AAA)","23","115","443","506","140","98","28","5","9","82","68","43","2","96","5","6","9","9","17","7",".316","5963"
"John Lindsey","Dodgers (AAA)","31","133","481","563","152","89","36","1","26","85","100","63","2","82","14","5","0","19","0","0",".316","2279"
"Joe Thurston","Red Sox (AAA)","28","126","507","575","160","116","28","5","11","84","64","35","1","75","11","8","14","8","19","11",".316","673"
"Emilio Bonifacio","- - -","23","93","398","438","125","99","20","5","1","58","32","31","0","68","0","3","6","2","21","10",".314","4054"
"Brian Myrow","Padres (AAA)","31","97","328","417","103","67","23","1","12","60","59","81","1","72","4","4","0","4","0","1",".314","3702"
"Josh Anderson","Braves (AAA)","25","121","494","541","155","122","25","4","4","77","40","30","3","57","6","3","8","9","42","7",".314","6032"
"Peter Ciofrone","Padres (AAA)","24","97","370","421","116","79","16","3","18","70","53","38","1","65","9","2","2","8","1","0",".314","sa202378"
"John Gall","Marlins (AAA)","30","98","359","400","112","71","29","0","12","49","76","31","3","50","4","4","1","15","8","4",".312","2142"
"Mike Cervenak","Phillies (AAA)","31","115","456","482","142","100","30","2","10","64","66","13","2","64","7","6","0","11","5","4",".311","3133"
"Tim Raines","Diamondbacks (AAA)","28","128","502","540","156","95","30","13","18","96","78","26","1","96","3","4","5","7","28","8",".311","1807"
"Jesus Feliciano","Mets (AAA)","29","139","509","567","157","129","21","4","3","70","55","41","3","57","8","5","4","17","12","14",".308","2448"
"Christian Colonel","Rockies (AAA)","26","117","429","467","132","85","33","2","12","72","65","34","1","65","2","2","0","11","7","5",".308","sa225671"
"Dan Johnson","Rays (AAA)","28","113","394","486","121","73","23","0","25","85","83","84","1","75","1","7","0","6","0","1",".307","2167"
"Josh Kroeger","Cubs (AAA)","25","123","430","480","132","76","38","3","15","73","69","43","1","82","4","3","0","11","12","3",".307","2205"
"Eider Torres","Orioles (AAA)","25","115","473","525","145","118","20","6","1","69","46","38","1","60","1","3","10","9","28","11",".307","2905"
"J.R. House","Astros (AAA)","28","127","454","513","139","96","25","0","18","63","60","53","0","52","2","4","0","11","1","2",".306","992"
"David Freese","Cardinals (AAA)","25","131","464","510","142","84","29","3","26","83","91","39","0","111","3","4","0","11","5","2",".306","9549"
"Tagg Bozied","Marlins (AAA)","28","123","425","484","130","73","28","3","26","86","80","50","3","76","5","4","0","7","7","2",".306","sa201378"
"Brad Coon","Angels (AAA)","25","85","337","398","103","88","9","2","4","73","30","47","0","52","10","0","2","3","17","10",".306","sa291705"
"Andres Torres","Cubs (AAA)","30","118","409","479","125","77","27","10","11","91","51","55","1","103","4","3","8","5","29","4",".306","1488"
"Brandon Watson","Phillies (AAA)","26","126","518","559","158","129","21","2","6","78","40","26","1","53","3","2","10","5","11","9",".305","2146"
"Rob Johnson","Mariners (AAA)","25","112","417","463","127","88","30","0","9","55","49","37","1","61","3","3","3","13","7","6",".305","8029"
"Shawn Garrett","Mariners (AAA)","29","100","388","418","118","83","24","1","10","50","62","26","1","75","1","1","2","10","5","4",".304","sa213149"
"Timo Perez","Tigers (AAA)","33","112","427","488","129","84","30","2","13","56","63","48","4","43","4","5","4","5","19","6",".302","891"
"Chris Getz","White Sox (AAA)","24","111","404","457","122","86","24","1","11","60","52","41","2","53","3","5","4","5","11","4",".302","3388"
"Jeff Bailey","Red Sox (AAA)","29","109","418","494","126","70","28","3","25","88","75","62","1","90","12","2","0","8","5","2",".301","2394"
"Tommy Murphy","- - -","28","115","453","515","136","102","24","4","6","84","37","50","0","99","1","1","10","3","42","10",".300","3105"
"Ryan Roberts","Rangers (AAA)","27","130","453","529","136","90","28","8","10","71","66","67","0","78","2","6","1","19","15","3",".300","5653"
"Chris Carter","Red Sox (AAA)","25","121","470","522","141","90","25","2","24","65","81","41","6","84","4","7","0","10","0","0",".300","7707"
"Luis Figueroa","Cubs (AAA)","34","112","370","419","111","90","18","1","2","59","46","33","3","30","1","5","10","10","1","2",".300","776"
"Scott McClain","Giants (AAA)","36","134","477","556","143","81","32","1","29","87","108","72","6","98","1","6","0","6","5","2",".300","8951"
"Joe Koshansky","Rockies (AAA)","26","122","457","526","137","66","36","4","31","90","121","60","7","158","3","6","0","5","1","0",".300","7547"
"Barbaro Canizares","Braves (AAA)","28","134","504","553","151","110","28","0","13","56","67","43","1","69","1","5","0","18","1","0",".300","6246"
"Tug Hulett","Mariners (AAA)","25","91","336","400","100","59","22","5","14","71","47","49","3","73","0","7","8","4","10","5",".298","7451"
"Mark Saccomanno","Astros (AAA)","28","137","528","572","157","95","33","2","27","83","84","35","2","94","1","6","1","16","4","3",".297","5938"
"Andrew Beattie","Marlins (AAA)","30","129","442","491","131","90","26","4","11","72","60","40","0","87","1","6","2","13","13","4",".296","sa210413"
"Joaquin Arias","Rangers (AAA)","23","104","432","460","128","97","15","9","7","59","49","19","0","53","3","2","4","10","23","5",".296","3817"
"Brandon Wood","Angels (AAA)","23","103","395","448","117","63","21","2","31","82","84","45","1","104","6","2","0","9","6","5",".296","6592"
"Brett Gardner","Yankees (AAA)","24","94","341","426","101","75","12","11","3","68","32","70","2","76","1","3","11","2","37","9",".296","9927"
"Casey McGehee","Cubs (AAA)","25","133","497","550","147","105","30","0","12","68","92","40","0","89","3","10","0","14","0","3",".296","6086"
"Chris Aguila","Mets (AAA)","29","116","420","479","124","73","20","2","29","74","73","53","2","102","4","2","0","11","13","4",".295","2143"
"Chris Richard","Rays (AAA)","34","131","467","539","137","75","32","4","26","82","88","55","4","127","10","6","1","5","5","0",".293","163"
"Will Venable","Padres (AAA)","25","120","442","496","129","85","26","4","14","70","58","44","0","103","5","2","3","7","7","3",".292","211"
"Tike Redman","Orioles (AAA)","31","116","463","527","135","109","19","4","3","77","36","48","1","50","4","4","8","5","13","12",".292","1003"
"Angel Chavez","Dodgers (AAA)","26","117","463","501","135","94","31","0","10","68","68","27","0","54","4","2","5","12","5","3",".292","2224"
