"Name","Team","Age","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"Jose Martinez","Royals (AAA)","26","396","12.1 %","13.9 %","0.87",".384",".461",".563","1.024",".179","5.0",".434","0.4","87","37.9",".452","177","7996"
"Domingo Santana","- - -","22","411","13.1 %","26.3 %","0.50",".333",".426",".573",".999",".240","4.5",".439","-2.0","86","34.6",".438","168","10348"
"Jesus Montero","Mariners (AAA)","25","430","6.7 %","16.5 %","0.41",".355",".398",".569",".966",".213","5.3",".394","-0.1","83","29.9",".420","156","5514"
"Matt Hague","Blue Jays (AAA)","29","596","10.2 %","10.9 %","0.94",".338",".416",".468",".885",".130","3.0",".370","-0.2","101","38.6",".408","161","7772"
"Travis Taijeron","Mets (AAA)","26","478","13.6 %","30.8 %","0.44",".274",".393",".536",".929",".261","3.8",".367","-0.8","87","27.8",".407","147","11935"
"Jamie Romak","Diamondbacks (AAA)","29","557","10.8 %","25.7 %","0.42",".284",".363",".549",".912",".265","4.9",".344","0.5","96","27.1",".395","139","5552"
"Jason Pridie","Athletics (AAA)","31","541","10.2 %","18.9 %","0.54",".310",".380",".515",".894",".205","7.1",".355","2.4","91","24.1",".390","136","4611"
"Jarrett Parker","Giants (AAA)","26","504","12.3 %","32.5 %","0.38",".283",".375",".514",".889",".230","5.9",".398","0.7","85","22.0",".389","135","11624"
"Danny Worth","Diamondbacks (AAA)","29","399","11.5 %","24.8 %","0.46",".314",".394",".469",".863",".154","4.9",".423","0.1","66","16.8",".387","134","198"
"Alex Dickerson","Padres (AAA)","25","519","8.7 %","18.5 %","0.47",".307",".374",".503",".877",".196","6.3",".360","0.5","85","20.6",".384","132","12649"
"Nick Evans","Diamondbacks (AAA)","29","583","10.1 %","19.0 %","0.53",".310",".381",".479",".860",".169","1.6",".365","-0.8","95","22.8",".384","132","7595"
"Brett Eibner","Royals (AAA)","26","431","8.8 %","18.3 %","0.48",".303",".364",".514",".878",".211","5.1",".338","1.8","70","16.8",".383","131","11369"
"Taylor Motter","Rays (AAA)","25","558","10.2 %","17.0 %","0.60",".292",".366",".471",".837",".179","5.2",".332","1.6","84","25.0",".381","142","12399"
"Peter O'Brien","Diamondbacks (AAA)","24","534","5.8 %","23.2 %","0.25",".284",".332",".551",".883",".267","4.8",".328","-1.3","86","19.4",".380","129","13288"
"Roger Bernadina","Rockies (AAA)","31","447","13.0 %","27.1 %","0.48",".276",".383",".466",".849",".190","6.6",".370","1.1","71","15.5",".378","128","6421"
"Jake Goebbert","Padres (AAA)","27","421","13.5 %","16.6 %","0.81",".294",".392",".452",".844",".158","3.9",".336","-1.2","67","14.5",".378","128","9431"
"Rymer Liriano","Padres (AAA)","24","549","11.7 %","24.0 %","0.48",".292",".383",".460",".843",".167","5.7",".376","-0.2","87","18.8",".378","128","4779"
"Jon Singleton","Astros (AAA)","23","448","14.3 %","22.1 %","0.65",".254",".359",".505",".865",".251","3.8",".282","-0.3","71","15.3",".377","128","10441"
