"Name","Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Jordan Brown","Indians (AA)","23","127","483","558","161","112","36","2","11","85","76","63","8","56","11","1","0","11","11","2",".333","4121"
"Chase Headley","Padres (AA)","23","121","433","522","143","80","38","5","20","82","78","74","7","114","11","4","0","7","1","0",".330","4720"
"Javier Brito","Diamondbacks (AA)","24","127","440","528","144","102","29","2","11","72","72","78","3","90","6","3","1","15","1","0",".327","sa244090"
"John Jaso","Devil Rays (AA)","23","109","380","450","120","82","24","2","12","62","71","59","1","49","4","5","2","8","2","2",".316","5887"
"Brian Barton","Indians (AA)","25","106","389","461","122","93","18","2","9","56","59","41","2","99","28","1","2","8","20","9",".314","2408"
"Mark Kiger","Mets (AA)","27","114","391","484","122","81","27","4","10","75","50","75","4","92","11","5","2","14","16","7",".312","4632"
"J.C. Holt","Braves (AA)","24","94","385","437","120","98","17","5","0","47","22","40","0","77","3","1","8","6","20","8",".312","sa254695"
"Garrett Guzman","Twins (AA)","24","125","475","526","148","110","23","1","14","72","88","36","2","51","3","7","5","13","6","6",".312","sa201142"
"Asdrubal Cabrera","Indians (AA)","21","96","368","425","114","80","23","3","8","78","54","45","0","42","3","7","2","8","23","7",".310","4962"
"Jesus Merchan","- - -","26","105","365","421","113","81","21","2","9","64","51","27","2","26","17","4","8","8","12","4",".310","sa199270"
"Greg Jacobs","Phillies (AA)","30","133","462","515","143","81","39","2","21","75","83","43","9","64","8","2","0","9","2","5",".310","sa206210"
"Christian Colonel","Rockies (AA)","25","134","527","580","163","99","47","0","17","78","84","46","3","80","1","6","0","13","6","4",".309","sa225671"
"Randy Ruiz","- - -","29","108","395","439","122","75","25","4","18","61","69","35","1","93","6","3","0","5","1","1",".309","2761"
"Fernando Perez","Devil Rays (AA)","24","102","393","476","121","79","24","10","8","84","33","76","0","104","2","0","5","2","32","18",".308","7755"
"Diory Hernandez","Braves (AA)","23","115","433","482","133","100","25","1","7","50","59","29","1","68","14","0","5","13","22","20",".307","4950"
"Evan Longoria","Devil Rays (AA)","21","105","381","447","117","75","21","0","21","78","76","51","5","81","12","3","0","7","4","0",".307","9368"
"Hernan Iribarren","Brewers (AA)","23","124","479","542","147","108","23","12","4","72","53","44","2","109","1","5","13","3","18","16",".307","4177"
"John Bowker","Giants (AA)","23","139","522","587","160","97","35","6","22","79","90","41","1","103","12","12","0","17","3","7",".307","8276"
"Freddy Sandoval","Angels (AA)","24","127","472","563","144","95","32","6","11","84","72","67","3","78","5","7","12","12","21","11",".305","6863"
"Chris Nowak","Devil Rays (AA)","24","104","368","432","112","80","21","4","7","54","55","54","0","73","5","5","0","11","18","3",".304","sa253288"
"Wilkin Castillo","Diamondbacks (AA)","23","109","410","449","124","84","31","3","6","50","46","17","1","62","3","3","16","5","18","14",".302","5124"
"Jason Hill","Phillies (AA)","30","116","434","475","131","89","33","0","9","57","67","34","2","62","0","2","1","12","1","2",".302","sa206219"
"Carl Loadenthal","Braves (AA)","25","129","476","552","143","121","17","5","0","72","31","62","6","80","4","4","6","13","40","18",".300","sa226208"
"German Duran","Rangers (AA)","22","130","480","529","144","85","32","5","22","81","84","34","0","77","7","4","4","13","11","2",".300","3919"
"Adam Heether","Brewers (AA)","25","120","432","491","129","88","27","5","9","60","62","51","0","89","1","4","3","7","2","6",".299","sa226130"
"Bryan Anderson","Cardinals (AA)","20","103","389","431","116","94","15","1","6","51","53","32","1","77","2","6","2","9","0","1",".298","9871"
"Eugenio Velez","Giants (AA)","25","96","376","411","112","85","17","9","1","55","25","26","0","66","2","3","4","6","49","17",".298","3893"
"Luis Bolivar","Reds (AA)","26","109","350","386","104","71","21","9","3","48","42","24","1","72","7","2","3","7","13","5",".297","sa202382"
"Jed Lowrie","Red Sox (AA)","23","93","337","408","100","54","31","7","8","61","49","65","2","58","1","2","3","11","5","3",".297","4418"
"Brett Harper","Mets (AA)","25","131","476","517","141","92","25","0","24","69","88","34","7","119","6","1","0","10","2","0",".296","sa200434"
"Chris Frey","Rockies (AA)","23","132","474","531","140","103","30","6","1","65","34","36","0","61","9","3","9","7","12","7",".295","sa291760"
"Todd Self","Astros (AA)","28","124","428","510","126","88","24","1","13","72","69","71","5","96","5","6","0","5","4","2",".294","2933"
