"Name","Team","Age","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"Anthony Aliotti","Athletics (AA)","25","409","16.1 %","20.3 %","0.80",".350",".452",".541",".993",".191","2.0",".431","-0.4","84","37.3",".434","180","sa501732"
"Allan Dykstra","Mets (AA)","26","489","20.9 %","25.2 %","0.83",".274",".436",".503",".938",".228","0.7",".346","-0.2","95","36.8",".425","164","9113"
"Marcus Semien","White Sox (AA)","22","484","17.4 %","13.6 %","1.27",".290",".420",".483",".903",".193","7.0",".317","1.5","86","34.4",".415","167","12533"
"Josmil Pinto","Twins (AA)","24","453","14.1 %","15.7 %","0.90",".308",".411",".482",".892",".174","2.0",".349","-1.0","81","27.6",".406","152","6806"
"Dan Black","White Sox (AA)","25","551","16.5 %","17.8 %","0.93",".290",".411",".470",".881",".180","3.5",".334","0.0","93","33.8",".401","157","sa501741"
"Joc Pederson","Dodgers (AA)","21","519","13.5 %","22.0 %","0.61",".278",".381",".497",".878",".219","6.4",".327","2.7","86","30.4",".398","155","11899"
"Javier Herrera","Giants (AA)","28","557","10.2 %","21.0 %","0.49",".296",".376",".485",".861",".190","5.6",".359","1.1","92","26.0",".388","139","sa244221"
"Mark Minicozzi","Giants (AA)","30","518","12.0 %","23.7 %","0.50",".309",".400",".445",".844",".135","2.8",".403","0.0","84","23.2",".386","138","sa293084"
"Xavier Scruggs","Cardinals (AA)","25","546","15.0 %","32.4 %","0.46",".248",".376",".487",".863",".239","3.6",".335","-0.8","90","28.0",".383","145","7409"
"Conner Crumbliss","Athletics (AA)","26","430","16.0 %","13.3 %","1.21",".280",".405",".432",".837",".153","5.2",".307","0.6","69","20.4",".378","142","sa502365"
"Mark Canha","Marlins (AA)","24","504","10.7 %","20.2 %","0.53",".273",".371",".449",".820",".176","4.5",".327","0.3","76","22.2",".378","141","11445"
"KD Kang","Rays (AA)","25","403","13.2 %","25.3 %","0.52",".251",".355",".471",".826",".220","5.6",".313","0.2","61","17.6",".377","141","sa327822"
"Mike O'Neill","Cardinals (AA)","25","434","16.4 %","6.0 %","2.73",".320",".431",".384",".815",".064","5.6",".339","1.8","69","19.7",".376","140","sa546800"
"Rey Fuentes","Padres (AA)","22","403","10.2 %","17.6 %","0.58",".316",".396",".441",".837",".125","6.1",".381","1.7","64","18.1",".375","139","10329"
"Erik Castro","Astros (AA)","25","473","11.6 %","22.2 %","0.52",".280",".368",".480",".848",".200","2.0",".337","-1.4","75","21.0",".374","139","sa501648"
"Caleb Joseph","Orioles (AA)","27","570","6.8 %","16.1 %","0.42",".299",".346",".494",".840",".195","3.5",".321","-0.2","87","19.4",".372","129","7087"
"Domingo Santana","Astros (AA)","20","476","9.7 %","29.2 %","0.33",".252",".345",".498",".842",".245","5.4",".316","0.3","74","20.2",".372","137","10348"
"Jason Rogers","Brewers (AA)","25","549","10.7 %","15.7 %","0.69",".270",".346",".468",".814",".198","4.0",".283","0.1","80","21.0",".370","136","11773"
"Nick Evans","Diamondbacks (AA)","27","527","12.5 %","21.1 %","0.59",".267",".357",".449",".806",".183","2.6",".309","-1.6","76","19.7",".369","135","7595"
"Alex Dickerson","Pirates (AA)","23","491","5.5 %","18.1 %","0.30",".288",".337",".494",".832",".206","4.8",".325","-1.0","73","15.2",".368","126","12649"
"Kyle Parker","Rockies (AA)","23","528","7.6 %","18.8 %","0.40",".288",".345",".492",".836",".204","4.0",".318","-1.4","81","20.8",".368","135","11763"
"Carlos Moncrief","Indians (AA)","24","552","10.0 %","17.8 %","0.56",".284",".354",".470",".824",".186","6.0",".321","0.0","82","17.0",".368","126","7511"
"Kevin Kiermaier","Rays (AA)","23","417","7.4 %","14.6 %","0.51",".307",".370",".434",".804",".127","6.9",".354","-1.8","60","15.1",".367","134","11038"
"Jamie Johnson","Tigers (AA)","26","524","19.3 %","14.1 %","1.36",".273",".420",".342",".763",".069","5.8",".323","2.3","77","15.0",".365","124","sa501504"
"Arismendy Alcantara","Cubs (AA)","21","571","10.9 %","21.9 %","0.50",".271",".352",".451",".804",".180","6.4",".332","3.4","80","19.6",".365","132","10711"
"Jim Murphy","Phillies (AA)","27","579","10.2 %","20.6 %","0.50",".273",".352",".465",".818",".192","2.2",".310","-0.4","85","16.2",".364","124","sa454769"
"Justin Greene","Diamondbacks (AA)","27","430","9.8 %","17.2 %","0.57",".308",".377",".413",".790",".105","8.3",".377","1.2","60","14.2",".363","131","sa455434"
"Brett Nicholas","Rangers (AA)","24","575","8.0 %","21.4 %","0.37",".289",".357",".474",".831",".186","3.5",".336","-0.2","86","20.4",".363","131","11192"
"Jake Goebbert","Athletics (AA)","25","459","10.2 %","18.1 %","0.57",".268",".352",".480",".831",".212","5.1",".291","-0.2","68","16.2",".363","131","9431"
"Adam Loewen","Blue Jays (AA)","29","491","11.6 %","25.5 %","0.46",".269",".358",".439",".797",".169","4.6",".347","-0.2","71","12.8",".362","122","2134"
"Jarrett Parker","Giants (AA)","24","524","11.5 %","30.7 %","0.37",".245",".355",".430",".785",".185","5.8",".343","-2.1","75","13.1",".360","121","11624"
"Danny Muno","Mets (AA)","24","561","16.4 %","17.3 %","0.95",".249",".384",".379",".762",".129","5.0",".296","-1.7","79","13.2",".358","120","12214"
"Ruben Gotay","Cardinals (AA)","30","576","12.5 %","16.5 %","0.76",".279",".366",".438",".804",".159","3.8",".313","0.2","84","18.4",".358","128","3417"
"Daniel Fields","Tigers (AA)","22","515","8.7 %","25.2 %","0.35",".284",".356",".435",".791",".151","7.3",".374","1.8","73","12.0",".358","120","10390"
"Kiel Roling","Rockies (AA)","26","458","8.3 %","23.4 %","0.36",".261",".323",".500",".823",".239","1.1",".290","-0.1","67","14.5",".358","128","sa454751"
"Christian Vazquez","Red Sox (AA)","22","399","11.8 %","11.0 %","1.07",".289",".376",".395",".771",".105","3.6",".316","-0.8","56","8.9",".357","119","9774"
"Christian Villanueva","Cubs (AA)","22","542","6.3 %","21.6 %","0.29",".261",".317",".469",".787",".208","3.3",".303","-2.0","73","15.2",".356","126","11738"
"Jose Pirela","Yankees (AA)","23","530","10.6 %","11.5 %","0.92",".272",".359",".418",".777",".146","6.4",".293","2.2","74","11.3",".356","118","5485"
"Rubi Silva","Cubs (AA)","24","490","3.7 %","20.2 %","0.18",".284",".310",".483",".793",".199","6.4",".331","-0.4","66","13.6",".356","126","sa594139"
"Brad Glenn","Blue Jays (AA)","26","477","9.2 %","21.8 %","0.42",".264",".334",".459",".793",".195","3.3",".308","-0.5","66","10.1",".356","118","7392"
"Adalberto Santos","Pirates (AA)","25","482","12.2 %","14.5 %","0.84",".281",".375",".386",".762",".105","4.9",".323","0.7","67","9.7",".354","117","sa389203"
