"Name","Team","Age","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"Jon Still","Red Sox (A)","22","454","19.2 %","18.7 %","1.02",".292",".432",".542",".973",".250","3.3",".327","0.3","96","36.9",".433","162","sa326723"
"Andrew Lefave","Brewers (A)","23","498","11.8 %","11.8 %","1.00",".345",".432",".525",".957",".180","4.1",".365","0.0","103","38.0",".427","159","sa329493"
"John Raynor","Marlins (A)","23","526","12.5 %","18.6 %","0.67",".333",".429",".519",".948",".187","9.2",".402","7.0","108","39.9",".427","158","9450"
"Ryan Royster","Devil Rays (A)","20","518","6.9 %","23.4 %","0.30",".329",".380",".601",".982",".272","6.2",".387","1.0","107","39.2",".426","158","sa253299"
"Michael McKenry","Rockies (A)","22","485","13.6 %","17.3 %","0.79",".287",".392",".539",".931",".252","3.7",".313","-2.6","94","31.2",".413","149","9628"
"Taylor Green","Brewers (A)","20","460","11.1 %","14.1 %","0.78",".327",".406",".516",".922",".189","3.1",".359","-2.4","89","29.1",".411","149","9147"
"Jonel Pacheco","Pirates (A)","24","514","8.0 %","13.8 %","0.58",".315",".372",".566",".937",".251","6.7",".321","0.3","98","30.6",".407","146","sa293568"
"Travis Snider","Blue Jays (A)","19","517","9.5 %","25.0 %","0.38",".313",".377",".525",".902",".212","5.0",".397","-3.4","91","30.9",".401","151","2830"
"Chris Carter","White Sox (A)","20","545","12.3 %","20.6 %","0.60",".291",".383",".522",".906",".231","3.9",".331","-0.5","100","29.3",".400","141","9911"
"Nick Weglarz","Indians (A)","19","532","15.4 %","24.2 %","0.64",".276",".395",".497",".892",".221","1.8",".338","-0.4","98","28.3",".399","141","sa294342"
"Geoff Strickland","Rockies (A)","22","404","17.6 %","24.8 %","0.71",".267",".401",".475",".876",".209","7.5",".359","-2.3","73","20.6",".397","139","sa291517"
"Brandon Tripp","Orioles (A)","22","433","9.9 %","25.9 %","0.38",".288",".377",".531",".908",".243","6.4",".359","0.8","78","22.0",".396","139","sa327660"
"Jared Keel","Pirates (A)","22","400","14.0 %","19.8 %","0.71",".261",".386",".494",".880",".233","4.4",".291","0.0","72","19.5",".394","137","sa326581"
"Desmond Jennings","Devil Rays (A)","20","448","10.0 %","11.8 %","0.85",".315",".401",".465",".866",".150","7.8",".346","2.0","80","21.8",".394","137","1965"
