"Name","Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Ben Revere","Twins (A)","20","83","340","374","129","101","17","10","1","51","43","27","2","31","5","0","2","1","44","13",".379","4712"
"Eric Fryer","Brewers (A)","22","104","385","437","129","88","26","5","10","76","63","43","1","74","6","3","0","3","15","3",".335","8145"
"Jesus Montero","Yankees (A)","18","132","525","569","171","119","34","1","17","86","87","37","2","83","6","1","0","16","2","1",".326","5514"
"Mitch Moreland","Rangers (A)","22","122","466","533","151","92","37","4","18","64","99","60","3","67","2","5","0","15","2","4",".324","3086"
"Jason Heyward","Braves (A)","18","120","449","508","145","101","27","6","11","88","52","49","3","74","3","7","0","4","15","3",".323","4940"
"Darin Holcomb","Rockies (A)","22","137","509","591","162","102","46","0","14","89","102","65","3","60","8","5","1","14","6","5",".318","sa389283"
"Freddie Freeman","Braves (A)","18","130","491","540","155","97","33","7","18","70","95","46","1","84","3","0","0","9","5","5",".316","5361"
"Matthew Brown","Indians (A)","23","122","451","495","139","102","26","3","8","64","75","35","2","62","2","6","1","10","3","4",".308","sa389778"
"Adrian Ortiz","Royals (A)","21","100","422","446","130","110","10","7","3","50","33","15","1","68","2","1","6","2","29","15",".308","sa388849"
"Ryan Adams","Orioles (A)","21","119","448","497","138","96","26","5","11","68","57","36","0","109","6","1","6","10","12","5",".308","6343"
"Caleb Gindl","Brewers (A)","19","137","508","578","156","101","38","4","13","86","81","63","2","144","5","2","0","2","14","5",".307","5002"
"Luis Durango","Padres (A)","22","93","334","389","102","87","11","3","1","56","25","49","0","43","1","1","4","9","14","7",".305","6533"
"Hector Estrella","Angels (A)","23","87","334","373","101","73","23","0","5","43","42","33","3","53","3","2","1","6","6","5",".302","sa390232"
"Michael Mitchell","Rockies (A)","22","127","500","570","150","117","24","5","4","93","45","37","1","118","15","1","17","9","55","9",".300","sa389918"
"Tim Smith","Rangers (A)","22","121","480","538","144","102","25","4","13","67","70","33","2","81","15","7","3","8","21","9",".300","sa390330"
"Austin Romine","Yankees (A)","19","104","407","436","122","87","24","1","10","66","49","25","0","56","3","1","0","8","3","0",".300","5491"
"Michael Mee","Diamondbacks (A)","24","87","318","379","95","80","12","1","2","47","38","58","1","39","1","2","0","8","2","1",".299","sa389419"
"Matt Dominguez","Marlins (A)","18","88","345","381","102","68","16","0","18","59","70","28","0","68","5","3","0","13","0","1",".296","4903"
"Lee Haydel","Brewers (A)","20","131","522","568","154","125","21","8","0","68","50","32","1","107","2","2","10","2","34","17",".295","sa328074"
"Justin Henry","Tigers (A)","23","120","475","532","140","113","24","2","1","74","46","44","2","36","3","3","7","14","27","7",".295","sa390269"
"Greg Sexton","Rays (A)","23","124","490","525","144","102","32","3","7","64","87","23","0","73","6","6","0","19","3","7",".294","sa390637"
"Jovan Rosa","Cubs (A)","20","128","481","536","141","87","43","4","7","58","81","40","1","127","7","5","3","10","3","2",".293","sa328155"
"Nate Samson","Cubs (A)","20","128","481","561","141","119","17","2","3","69","42","40","0","49","16","2","22","10","15","11",".293","sa331346"
"Dale Mollenhauer","White Sox (A)","22","90","348","382","102","66","29","5","2","46","35","24","0","57","1","3","6","4","19","2",".293","sa390184"
"Eric Farris","Brewers (A)","22","103","454","492","133","105","21","4","3","73","54","24","0","50","5","5","4","11","32","10",".293","2066"
"Giancarlo Stanton","Marlins (A)","18","125","468","540","137","69","26","3","39","89","97","58","7","153","11","3","0","8","4","2",".293","4949"
"Stephen Vogt","Rays (A)","23","113","392","448","114","83","22","3","6","57","54","47","0","48","3","4","2","4","6","1",".291","5000"
"Edilio Colina","Mariners (A)","19","114","423","471","123","94","24","1","4","69","50","29","0","54","10","3","6","13","8","7",".291","sa383624"
"Domonic Brown","Phillies (A)","20","114","444","516","129","94","23","3","9","77","54","64","4","72","4","4","0","10","22","7",".291","3154"
"Hunter Mense","Marlins (A)","23","111","432","474","125","86","25","1","13","65","56","31","2","90","8","2","1","5","5","4",".289","sa327996"
"Steffan Wilson","Brewers (A)","22","131","485","539","140","89","27","5","19","91","100","46","1","98","2","4","2","10","4","5",".289","sa389772"
"Andrew Lambo","Dodgers (A)","19","123","472","518","136","86","33","2","15","58","79","41","2","110","2","3","0","13","5","2",".288","5386"
"Casey Craig","Mets (A)","23","95","361","409","104","80","16","3","5","50","49","33","0","69","3","7","5","6","24","7",".288","sa244293"
"Justin Snyder","Yankees (A)","22","132","504","584","145","102","33","3","7","77","59","68","0","95","2","6","4","7","7","1",".288","sa389220"
"Reid Fronk","Rays (A)","21","124","429","528","123","73","29","4","17","76","83","74","2","103","13","11","1","5","18","11",".287","sa390364"
