"Name","Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Andrew Lefave","Brewers (A)","23","112","423","498","146","104","25","0","17","90","79","59","3","59","10","6","0","3","12","5",".345","sa329493"
"John Raynor","Marlins (A)","23","116","445","526","148","99","28","8","13","110","57","66","0","98","11","2","2","2","54","8",".333","9450"
"Ryan Royster","Devil Rays (A)","20","125","474","518","156","91","31","4","30","90","98","36","2","121","5","3","0","5","17","5",".329","sa253299"
"Taylor Green","Brewers (A)","20","111","397","460","130","85","29","2","14","68","86","51","1","65","5","5","2","6","0","5",".327","9147"
"Emmanuel Burriss","Giants (A)","22","89","365","405","117","99","14","4","0","64","38","28","0","49","5","3","4","3","51","15",".321","2917"
"Gerardo Parra","Diamondbacks (A)","20","110","444","488","142","107","25","4","6","64","57","30","2","51","8","5","1","12","24","8",".320","8553"
"Jonel Pacheco","Pirates (A)","24","119","463","514","146","89","25","5","27","97","99","41","4","71","4","6","0","11","18","7",".315","sa293568"
"Desmond Jennings","Devil Rays (A)","20","99","387","448","122","87","21","5","9","75","37","45","1","53","12","2","2","1","45","15",".315","1965"
"Travis Snider","Blue Jays (A)","19","118","457","517","143","85","35","7","16","72","93","49","5","129","3","8","0","8","3","10",".313","2830"
"Quintin Berry","Phillies (A)","22","126","487","581","152","126","19","4","3","86","44","61","0","85","12","9","12","6","55","18",".312","9414"
"Daniel Mayora","Rockies (A)","21","127","516","571","161","104","42","1","14","88","78","41","3","124","6","3","5","7","26","9",".312","sa291160"
"Justin Turner","Reds (A)","22","117","466","516","145","106","25","4","10","70","59","39","0","72","9","2","0","7","12","8",".311","5235"
"Eduardo Perez","Dodgers (A)","22","116","447","486","139","103","20","2","14","56","60","34","2","91","3","2","0","10","8","5",".311","sa295202"
"Mitch Hilligoss","Yankees (A)","22","128","520","559","161","118","35","4","4","83","53","33","0","65","2","2","2","11","35","7",".310","sa326805"
"James Skelton","Tigers (A)","21","101","353","417","109","76","24","2","7","60","52","55","0","53","2","3","4","7","18","5",".309","sa253647"
"Josh Reddick","Red Sox (A)","20","94","369","403","113","72","17","6","18","60","72","26","2","51","3","5","0","7","8","5",".306","3892"
"D.J. Wabick","Mets (A)","23","118","428","461","131","90","32","1","8","38","64","27","0","86","2","3","1","13","1","2",".306","sa293569"
"Cesar Suarez","Devil Rays (A)","23","133","520","576","159","105","42","1","11","79","87","38","2","69","11","7","0","10","31","11",".306","sa244094"
"Mike Paulk","Rockies (A)","23","130","491","567","149","100","34","4","11","91","93","65","8","90","2","8","1","11","14","9",".303","sa291803"
"John Shelby","White Sox (A)","21","122","488","538","147","87","35","9","16","83","79","35","1","77","5","4","6","8","19","8",".301","sa326756"
"Stefan Gartrell","White Sox (A)","23","95","339","383","102","67","20","3","12","67","57","37","0","77","4","2","1","9","12","2",".301","sa326944"
"Tyler Flowers","Braves (A)","21","106","389","445","116","68","34","2","12","65","70","49","1","74","3","4","0","8","3","4",".298","9134"
"Adrian Cardenas","Phillies (A)","19","127","499","565","147","106","30","2","9","70","79","47","2","80","4","10","4","17","20","7",".295","9514"
"Gorkys Hernandez","Tigers (A)","19","124","481","533","141","107","25","5","4","84","50","36","1","69","5","7","4","2","54","11",".293","4146"
"Alex Presley","Pirates (A)","21","121","495","553","145","104","22","8","11","79","63","45","2","108","0","6","7","2","18","10",".293","5305"
"Scott Cousins","Marlins (A)","22","110","421","472","123","80","25","0","18","69","74","38","3","92","7","3","3","8","16","7",".292","173"
"Reid Engel","Red Sox (A)","20","112","411","464","120","85","20","6","9","60","49","38","1","78","9","5","1","4","13","4",".292","sa294503"
"Jim Adduci","Cubs (A)","22","107","401","436","117","95","18","2","2","54","48","30","1","98","3","1","1","6","20","6",".292","6448"
"Jon Still","Red Sox (A)","22","102","360","454","105","58","25","1","21","71","79","87","1","85","4","3","0","10","2","0",".292","sa326723"
"Chris Carter","White Sox (A)","20","126","467","545","136","81","27","3","25","84","93","67","3","112","6","5","0","6","3","2",".291","9911"
